Tidspunkt,Luftfuktighet (%),pressure,temperature_aht20,temperature_bmp280,tvoc
2025-02-11 09:00:00+00:00,23.058358,103.81045,19.384174,19.064306,1.1
2025-02-24 08:00:00+00:00,38.309145,100.56495,22.5791,22.3139,12.0
2025-02-24 09:00:00+00:00,46.8996,100.5399,16.98875,16.63357,0.0
2025-02-24 10:00:00+00:00,48.06938,100.5174,16.48712,16.14593,0.0
2025-02-24 11:00:00+00:00,48.08102,100.5018,16.72916,16.39102,0.0
2025-02-24 12:00:00+00:00,47.39771,100.4857,16.54472,16.17365,0.0
2025-02-24 13:00:00+00:00,47.64996,100.4555,16.3187,15.92289,0.0
2025-02-24 14:00:00+00:00,47.1941,100.4273,16.16535,15.7975,0.0
2025-02-24 15:00:00+00:00,47.13688,100.4003,15.85827,15.52906,0.0
2025-02-24 16:00:00+00:00,45.33482,100.3557,16.9281,16.57939,0.0
2025-02-24 17:00:00+00:00,44.07253,100.3395,17.74712,17.41909,0.0
2025-02-24 18:00:00+00:00,44.46344,100.3214,17.81178,17.48333,0.0
2025-02-24 19:00:00+00:00,42.99183,100.3144,18.0418,17.73275,0.0
2025-02-24 20:00:00+00:00,42.40561,100.2797,17.87968,17.58222,0.0
2025-02-24 21:00:00+00:00,40.63091,100.2588,18.40343,18.09111,0.0
2025-02-24 22:00:00+00:00,39.42385,100.2592,18.67657,18.37954,0.0
2025-02-24 23:00:00+00:00,38.66911,100.2541,18.76621,18.46707,0.0
2025-02-25 00:00:00+00:00,38.35058,100.2592,18.64719,18.35057,0.0
2025-02-25 01:00:00+00:00,37.60757,100.2544,18.71414,18.44377,0.0
2025-02-25 02:00:00+00:00,37.55617,100.2556,18.67027,18.39465,0.0
2025-02-25 03:00:00+00:00,37.27589,100.27,18.55965,18.26366,0.0
2025-02-25 04:00:00+00:00,36.8413,100.2954,18.61172,18.31089,0.0
2025-02-25 05:00:00+00:00,38.08012,100.334,17.15336,16.78035,0.0
2025-02-25 06:00:00+00:00,38.97524,100.3632,16.62369,16.29273,0.0
2025-02-25 07:00:00+00:00,39.83021,100.4162,15.81268,15.40555,0.0
2025-02-25 08:00:00+00:00,41.80841,100.4821,16.22047,15.8561,0.0
2025-02-25 09:00:00+00:00,41.3434,100.4896,16.13102,15.78112,0.0
2025-02-25 10:00:00+00:00,40.68651,100.5231,16.15353,15.78616,0.0
2025-02-25 11:00:00+00:00,40.79885,100.5566,16.34502,16.01614,1.0
2025-02-25 12:00:00+00:00,42.24529,100.5494,16.65249,16.32486,1.0
2025-02-25 13:00:00+00:00,42.68799,100.5135,16.96053,16.62853,0.0
